Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label
2017-06-21,2017,6,21,Wednesday,25,2017-25,75.6,76.61,75.58,76.24,9011400.0,70.86,0.009266843674729186,72.78857142857146,71.10780000000005,red
2017-06-22,2017,6,22,Thursday,25,2017-25,76.03,76.06,75.3,75.52,8111300.0,70.19,-0.009444250583529712,72.51642857142859,71.15560000000005,red
2017-06-23,2017,6,23,Friday,25,2017-25,75.6,75.78,74.55,74.84,13080300.0,69.56,-0.009004303840065342,72.15642857142859,71.19080000000002,red
2017-06-26,2017,6,26,Monday,26,2017-26,74.95,75.93,74.92,75.5,8587500.0,70.17,0.008819043764529466,71.92857142857146,71.24340000000002,green
2017-06-27,2017,6,27,Tuesday,26,2017-26,75.5,76.37,75.45,76.01,6454400.0,70.65,0.006754825461655178,71.72000000000003,71.29940000000003,green
2017-06-28,2017,6,28,Wednesday,26,2017-26,76.25,76.8,76.14,76.51,6988900.0,71.11,0.0065781843118408725,71.55928571428574,71.35720000000003,green
2017-06-29,2017,6,29,Thursday,26,2017-26,76.25,76.32,75.49,75.93,7063500.0,70.57,-0.007580602575132489,71.32714285714289,71.40080000000005,green
2017-06-30,2017,6,30,Friday,26,2017-26,76.08,76.27,75.67,75.68,6963300.0,70.34,-0.0032926109171073077,71.09071428571431,71.42640000000004,green
2017-07-03,2017,7,3,Monday,27,2017-27,75.84,76.34,75.08,75.36,4848600.0,70.04,-0.004228143609371625,70.81428571428575,71.44340000000005,red
2017-07-05,2017,7,5,Wednesday,27,2017-27,75.55,75.95,75.17,75.32,6036900.0,70.01,-0.000531116094288131,70.51071428571433,71.46280000000007,red
2017-07-06,2017,7,6,Thursday,27,2017-27,75.35,75.97,75.24,75.47,6161800.0,70.15,0.00199154492511866,70.28285714285718,71.48000000000006,red
2017-07-07,2017,7,7,Friday,27,2017-27,75.65,75.82,75.05,75.33,5307100.0,70.02,-0.0018548922592999122,70.28928571428574,71.48760000000007,red
2017-07-10,2017,7,10,Monday,28,2017-28,75.15,75.31,73.13,73.23,15066700.0,68.06,-0.0278773775034159,70.13857142857147,71.45580000000005,green
2017-07-11,2017,7,11,Tuesday,28,2017-28,73.38,74.05,73.33,73.47,7532600.0,68.29,0.0032775933228563763,70.00142857142862,71.43340000000006,green
2017-07-12,2017,7,12,Wednesday,28,2017-28,73.66,74.21,73.66,73.94,5700200.0,68.72,0.006397129967085302,69.84857142857147,71.41860000000005,green
2017-07-13,2017,7,13,Thursday,28,2017-28,74.67,75.25,74.51,75.05,8160500.0,69.75,0.01501197256517961,69.8171428571429,71.41900000000005,green
2017-07-14,2017,7,14,Friday,28,2017-28,76.27,76.56,75.91,76.34,9151900.0,70.95,0.017188419429283952,69.91642857142861,71.43900000000005,green
2017-07-17,2017,7,17,Monday,29,2017-29,76.29,76.87,76.19,76.37,8835600.0,70.98,0.00039290102894051765,69.97428571428576,71.44900000000004,red
2017-07-18,2017,7,18,Tuesday,29,2017-29,76.25,76.54,76.0,76.2,4314900.0,70.82,-0.00222599467352047,69.98642857142862,71.45280000000005,red
2017-07-19,2017,7,19,Wednesday,29,2017-29,76.08,76.22,75.6,75.87,5313600.0,70.52,-0.004330821644219164,69.94428571428577,71.45760000000004,red
2017-07-20,2017,7,20,Thursday,29,2017-29,75.98,76.25,75.7,76.02,4965400.0,70.66,0.001977216194282372,69.95071428571434,71.45420000000004,red
2017-07-21,2017,7,21,Friday,29,2017-29,75.84,76.23,75.55,76.15,7153300.0,70.78,0.0017102779074724685,69.98214285714293,71.44400000000005,red
2017-07-24,2017,7,24,Monday,30,2017-30,76.03,77.16,76.03,76.89,7388000.0,71.46,0.009717678532295215,70.08357142857149,71.45800000000004,green
2017-07-25,2017,7,25,Tuesday,30,2017-30,77.61,78.86,77.39,78.52,11504000.0,72.98,0.021198760720683163,70.29571428571434,71.51020000000005,green
2017-07-26,2017,7,26,Wednesday,30,2017-30,78.55,79.17,77.94,78.9,6716100.0,73.33,0.004839829108954419,70.52285714285719,71.55860000000007,green
2017-07-27,2017,7,27,Thursday,30,2017-30,78.72,79.86,78.48,79.78,8052500.0,74.15,0.011153335289931121,70.81785714285719,71.64540000000005,green
2017-07-28,2017,7,28,Friday,30,2017-30,79.8,79.96,79.54,79.81,4975200.0,74.18,0.0003759596539936183,71.25500000000007,71.73260000000005,green
2017-07-31,2017,7,31,Monday,31,2017-31,79.82,80.34,79.69,79.99,6263200.0,74.35,0.0022553215735989784,71.6878571428572,71.77820000000004,green
2017-08-01,2017,8,1,Tuesday,31,2017-31,80.25,80.73,80.0,80.5,5726500.0,74.82,0.006375869574363868,72.12357142857148,71.81040000000004,green
2017-08-02,2017,8,2,Wednesday,31,2017-31,80.34,81.11,80.3,80.53,8673000.0,74.85,0.00037269901694125807,72.4878571428572,71.84720000000004,green
2017-08-03,2017,8,3,Thursday,31,2017-31,81.34,81.76,80.67,80.87,9946900.0,75.16,0.004222008754705131,72.78857142857147,71.89140000000003,green
2017-08-04,2017,8,4,Friday,31,2017-31,81.06,81.4,80.21,80.48,7141800.0,74.8,-0.0048226152151520365,73.06142857142859,71.93460000000005,green
2017-08-07,2017,8,7,Monday,32,2017-32,80.57,81.45,80.54,81.28,5484500.0,75.55,0.00994053284625962,73.39928571428574,71.99000000000005,green
2017-08-08,2017,8,8,Tuesday,32,2017-32,81.17,81.86,80.9,81.59,7381400.0,75.83,0.0038139279822537726,73.77857142857147,72.05420000000005,green
2017-08-09,2017,8,9,Wednesday,32,2017-32,81.11,81.99,80.9,81.61,6606500.0,76.33,0.006536762434818932,74.18357142857145,72.12800000000004,green
2017-08-10,2017,8,10,Thursday,32,2017-32,81.07,81.4,80.55,80.66,8045000.0,75.44,-0.011640741766564822,74.51642857142859,72.17580000000005,green
2017-08-11,2017,8,11,Friday,32,2017-32,80.73,81.25,80.36,80.4,7905500.0,75.2,-0.00322355807592567,74.78357142857145,72.19620000000005,green
2017-08-14,2017,8,14,Monday,33,2017-33,80.59,81.24,80.5,80.7,7792000.0,75.48,0.003731534464315844,74.96214285714291,72.22580000000005,red
2017-08-15,2017,8,15,Tuesday,33,2017-33,80.83,81.4,80.54,80.77,7066100.0,75.54,0.0008671747811543895,75.12000000000003,72.24460000000005,red
2017-08-16,2017,8,16,Wednesday,33,2017-33,81.27,81.44,80.54,80.98,11536000.0,75.74,0.002600078269980877,75.23357142857147,72.29220000000005,red
2017-08-17,2017,8,17,Thursday,33,2017-33,78.85,79.81,78.33,79.7,17293700.0,74.54,-0.01580670409181884,75.25928571428574,72.31160000000004,red
2017-08-18,2017,8,18,Friday,33,2017-33,79.62,80.35,79.28,79.31,9753000.0,74.18,-0.004892916406827097,75.24714285714289,72.32800000000003,red
2017-08-21,2017,8,21,Monday,34,2017-34,79.12,80.07,78.79,79.71,9613900.0,74.55,0.0050432778323181715,75.22785714285719,72.34260000000003,red
2017-08-22,2017,8,22,Tuesday,34,2017-34,79.8,80.16,79.71,80.02,6546100.0,74.84,0.003889096234127143,75.22714285714291,72.36640000000003,red
2017-08-23,2017,8,23,Wednesday,34,2017-34,80.35,80.56,79.88,79.96,7799300.0,74.79,-0.0007497694624555296,75.20071428571431,72.38400000000003,red
